# date          high_F  low_F  precipitation_inch   
1 jan 2015	24.1	10.9	0.00
2 jan 2015	44.1	-11.9	0.00	
3 jan 2015	44.1	-9.0	0.00	
4 jan 2015	53.1	-0.0	0.00	
5 jan 2015	54.0	9.0	0.00	
6 jan 2015	52.0	10.9	0.00	
7 jan 2015	57.9	17.1	0.00	
8 jan 2015	57.9	18.0	0.00	
9 jan 2015	52.0	19.0	0.00	
10 jan 2015	39.9	24.1	0.00	
11 jan 2015	44.1	28.0	0.00	
12 jan 2015	42.1	30.0	0.00	
13 jan 2015	43.0	28.9	0.52	
14 jan 2015	39.0	10.0	0.24	
15 jan 2015	43.0	10.0	0.00	
16 jan 2015	57.0	10.0	0.00	
17 jan 2015	55.0	21.9	0.00	
18 jan 2015	59.0	21.9	0.00	
19 jan 2015	57.9	21.0	0.00	
20 jan 2015	51.1	17.1	0.00	
21 jan 2015	50.2	24.1	0.05	
22 jan 2015	48.9	12.0	0.00	
23 jan 2015	46.0	9.0	0.00	
24 jan 2015	46.0	19.9	0.00	
25 jan 2015	53.1	18.0	0.00	
26 jan 2015	54.0	21.0	0.00	
27 jan 2015	53.8	34.0	0.00	
28 jan 2015	54.0	19.9	0.00	
29 jan 2015	52.0	28.0	0.00	
30 jan 2015	48.0 	35.1	1.10	
31 jan 2015	46.0	30.9	0.20
1 feb 2015	51.1	21.0	0.00  
2 feb 2015	57.0	21.0	0.00
3 feb 2015	57.9	21.9	0.00
4 feb 2015	59.0	26.1	0.00
5 feb 2015	63.0	18.0	0.00
6 feb 2015	61.0	19.0	0.00
7 feb 2015	60.1	19.0	0.00
8 feb 2015	61.0	28.0	0.00
9 feb 2015	62.1	23.0	0.00
10 feb 2015	60.1	19.9	0.00
11 feb 2015	48.9	16.0	0.00
12 feb 2015	52.0	27.0	0.00
13 feb 2015	59.0	21.9	0.00
14 feb 2015	64.9	19.9	0.00
15 feb 2015	62.3	25.0	0.00
16 feb 2015	65.8	16.0	0.00
17 feb 2015	62.8	10.9	0.00
18 feb 2015	63.0	19.0	0.00
19 feb 2015	63.0	21.0	0.00
20 feb 2015	57.0	23.0	0.00
21 feb 2015	54.0	21.0	0.00
22 feb 2015	48.0	28.0	0.00
23 feb 2015	36.0	32.0	1.80
24 feb 2015	35.1	21.0	0.21
25 feb 2015	46.9	12.0	0.00
26 feb 2015	45.0	19.0	0.00   
27 feb 2015	42.1	16.0	0.00   
28 feb 2015	39.9	33.1	0.25
1 mar 2015	39.9	30.0	1.59
2 mar 2015	39.0	27.0	0.00   
3 mar 2015	35.1	19.9	0.00
4 mar 2015	41.0	6.1	0.00
5 mar 2015	44.1	1.9	0.00
6 mar 2015	46.0	10.0	0.00
7 mar 2015	48.9	12.0	0.00
8 mar 2015	55.9	17.1	0.00
9 mar 2015	55.0	19.0	0.00
10 mar 2015	55.9	16.0	0.00
11 mar 2015	57.0	19.9	0.00
12 mar 2015	56.0	33.1	0.01
13 mar 2015	55.0	33.1	0.00
14 mar 2015	57.9	26.1	0.00
15 mar 2015	62.1	24.1	0.00
16 mar 2015	64.0	24.1	0.00
17 mar 2015	66.9	27.0	0.00
18 mar 2015	65.0	36.0	0.00
19 mar 2015	59.6	37.9	0.00
20 mar 2015	57.9	19.9	0.00
21 mar 2015	62.1	21.9	0.00
22 mar 2015	61.0	25.0	0.00
23 mar 2015	60.1	32.0	0.00
24 mar 2015	59.0	19.9	0.00
25 mar 2015	62.1	30.9	0.00
26 mar 2015	60.1	24.1	0.00
27 mar 2015	70.0	21.0	0.00
28 mar 2015	69.1	21.9	0.00
